id,label
1,iris
2,buttercup
3,bluebell
4,windflower
5,snowdrop
6,windflower
7,bluebell
8,tigerlily
9,bluebell
10,colts_foot
11,daffodil
12,fritillary
13,pansy
14,colts_foot
15,tulip
16,colts_foot
17,fritillary
18,daisy
19,tulip
20,dandelion
21,daisy
22,tigerlily
23,sunflower
24,daisy
25,sunflower
26,sunflower
27,colts_foot
28,iris
29,bluebell
30,sunflower
31,windflower
32,daffodil
33,sunflower
34,daisy
35,dandelion
36,daisy
37,buttercup
38,snowdrop
39,windflower
40,windflower
41,sunflower
42,cowslip
43,iris
44,daffodil
45,fritillary
46,tigerlily
47,colts_foot
48,snowdrop
49,snowdrop
50,snowdrop
51,snowdrop
52,cowslip
53,snowdrop
54,pansy
55,snowdrop
56,iris
57,sunflower
58,tulip
59,crocus
60,tulip
61,fritillary
62,bluebell
63,iris
64,dandelion
65,buttercup
66,daffodil
67,tigerlily
68,dandelion
69,lily_valley
70,tigerlily
71,tigerlily
72,snowdrop
73,lily_valley
74,iris
75,iris
76,snowdrop
77,crocus
78,daisy
79,daffodil
80,iris
81,crocus
82,windflower
83,lily_valley
84,pansy
85,fritillary
86,cowslip
87,sunflower
88,daffodil
89,tigerlily
90,crocus
91,buttercup
92,daisy
93,iris
94,pansy
95,crocus
96,colts_foot
97,colts_foot
98,sunflower
99,sunflower
100,crocus
101,buttercup
102,fritillary
103,colts_foot
104,bluebell
105,iris
106,windflower
107,sunflower
108,pansy
109,buttercup
110,snowdrop
111,windflower
112,pansy
113,daisy
114,tulip
115,dandelion
116,daffodil
117,daffodil
118,buttercup
119,bluebell
120,daffodil
121,lily_valley
122,crocus
123,lily_valley
124,tigerlily
125,tulip
126,dandelion
127,tulip
128,fritillary
129,bluebell
130,fritillary
131,dandelion
132,snowdrop
133,snowdrop
134,dandelion
135,buttercup
136,tigerlily
137,windflower
138,fritillary
139,fritillary
140,crocus
141,fritillary
142,colts_foot
143,bluebell
144,daffodil
145,daisy
146,iris
147,windflower
148,lily_valley
149,snowdrop
150,tigerlily
151,tigerlily
152,lily_valley
153,snowdrop
154,sunflower
155,daffodil
156,crocus
157,fritillary
158,snowdrop
159,daisy
160,windflower
161,colts_foot
162,lily_valley
163,daffodil
164,tulip
165,iris
166,snowdrop
167,sunflower
168,sunflower
169,snowdrop
170,daffodil
171,daisy
172,snowdrop
173,daisy
174,pansy
175,crocus
176,cowslip
177,lily_valley
178,colts_foot
179,bluebell
180,tigerlily
181,cowslip
182,sunflower
183,pansy
184,windflower
185,colts_foot
186,lily_valley
187,dandelion
188,colts_foot
189,pansy
190,colts_foot
191,lily_valley
192,windflower
193,lily_valley
194,cowslip
195,tulip
196,bluebell
197,sunflower
198,sunflower
199,crocus
200,colts_foot
201,daisy
202,cowslip
203,windflower
204,fritillary
205,lily_valley
206,dandelion
207,daffodil
208,crocus
209,tigerlily
210,colts_foot
211,buttercup
212,snowdrop
213,dandelion
214,pansy
215,colts_foot
216,bluebell
217,iris
218,iris
219,pansy
220,bluebell
221,tulip
222,iris
223,snowdrop
224,dandelion
225,cowslip
226,iris
227,iris
228,daffodil
229,snowdrop
230,bluebell
231,lily_valley
232,iris
233,daisy
234,daffodil
235,snowdrop
236,lily_valley
237,bluebell
238,pansy
239,sunflower
240,pansy
241,iris
242,sunflower
243,sunflower
244,sunflower
245,tigerlily
246,daffodil
247,bluebell
248,snowdrop
249,snowdrop
250,snowdrop
251,colts_foot
252,daisy
253,crocus
254,iris
255,daffodil
256,crocus
257,crocus
258,daisy
259,windflower
260,lily_valley
261,colts_foot
262,bluebell
263,pansy
264,daffodil
265,lily_valley
266,crocus
267,snowdrop
268,dandelion
269,tulip
270,colts_foot
271,tigerlily
272,fritillary
273,fritillary
274,crocus
275,windflower
276,iris
277,snowdrop
278,snowdrop
279,daffodil
280,fritillary
281,pansy
282,daffodil
283,iris
284,crocus
285,dandelion
286,bluebell
287,bluebell
288,sunflower
289,sunflower
290,iris
291,tulip
292,cowslip
293,tigerlily
294,windflower
295,tulip
296,bluebell
297,sunflower
298,pansy
299,crocus
300,colts_foot
301,tulip
302,cowslip
303,bluebell
304,snowdrop
305,windflower
306,windflower
307,iris
308,crocus
309,snowdrop
310,bluebell
311,sunflower
312,dandelion
313,daisy
314,colts_foot
315,colts_foot
316,cowslip
317,lily_valley
318,windflower
319,lily_valley
320,bluebell
321,lily_valley
322,pansy
323,tulip
324,cowslip
325,tulip
326,crocus
327,buttercup
328,buttercup
329,daisy
330,windflower
331,lily_valley
332,tulip
333,lily_valley
334,bluebell
335,fritillary
336,pansy
337,tulip
338,lily_valley
339,bluebell
340,sunflower
341,daisy
